title,source,diff_ITD,diff_ILD
AM Contra - Heart Peripheral,bass,0.0,0.08295555640823632
AM Contra - Heart Peripheral,drums,0.0,0.005465541356518562
AM Contra - Heart Peripheral,other,0.0,0.24013005023161008
AM Contra - Heart Peripheral,vocals,0.0,0.03249596757444162
Al James - Schoolboy Facination,bass,0.0,0.006838708616168532
Al James - Schoolboy Facination,drums,0.0,0.31281041499991946
Al James - Schoolboy Facination,other,22.675736961451246,0.01914326959115753
Al James - Schoolboy Facination,vocals,0.0,0.00758132252764937
Angels In Amplifiers - I'm Alright,bass,294.78458049886626,0.24866643166475422
Angels In Amplifiers - I'm Alright,drums,0.0,0.027673868837671922
Angels In Amplifiers - I'm Alright,other,22.675736961451246,0.13935975325403227
Angels In Amplifiers - I'm Alright,vocals,0.0,0.04604099458065358
Arise - Run Run Run,bass,0.0,0.5292994473029071
Arise - Run Run Run,drums,0.0,0.09501144779896689
Arise - Run Run Run,other,0.0,3.6128839570737465
Arise - Run Run Run,vocals,0.0,0.005964042165273145
BKS - Bulldozer,bass,0.0,0.14774891074154073
BKS - Bulldozer,drums,0.0,0.03557538291982834
BKS - Bulldozer,other,0.0,0.19405601673415251
BKS - Bulldozer,vocals,0.0,0.032259872549465274
BKS - Too Much,bass,0.0,0.2962712471777935
BKS - Too Much,drums,0.0,0.10723682179821947
BKS - Too Much,other,0.0,0.12545263362716275
BKS - Too Much,vocals,0.0,0.028551613241960993
Ben Carrigan - We'll Talk About It All Tonight,bass,0.0,0.00523145227903085
Ben Carrigan - We'll Talk About It All Tonight,drums,0.0,0.04871370101205097
Ben Carrigan - We'll Talk About It All Tonight,other,0.0,0.22796579388912086
Ben Carrigan - We'll Talk About It All Tonight,vocals,0.0,0.22838779380692575
Bobby Nobody - Stitch Up,bass,0.0,0.06782712956415837
Bobby Nobody - Stitch Up,drums,0.0,0.26092333530116285
Bobby Nobody - Stitch Up,other,0.0,0.19258191255383939
Bobby Nobody - Stitch Up,vocals,0.0,0.03128635775625307
Buitraker - Revo X,bass,204.08163265306123,0.0022861946998789635
Buitraker - Revo X,drums,0.0,0.06294220335230488
Buitraker - Revo X,other,22.675736961451246,0.06471716459880328
Buitraker - Revo X,vocals,0.0,0.11596396311552853
Carlos Gonzalez - A Place For Us,bass,0.0,0.0057444154379235595
Carlos Gonzalez - A Place For Us,drums,0.0,0.11042270442665698
Carlos Gonzalez - A Place For Us,other,0.0,0.12243900053179513
Carlos Gonzalez - A Place For Us,vocals,0.0,0.056093188958761364
Cristina Vane - So Easy,bass,0.0,0.24688720727557673
Cristina Vane - So Easy,drums,0.0,0.0270900079965354
Cristina Vane - So Easy,other,0.0,0.0005665393834471399
Cristina Vane - So Easy,vocals,0.0,0.030052497357659635
Detsky Sad - Walkie Talkie,bass,0.0,0.01054825234029025
Detsky Sad - Walkie Talkie,drums,0.0,0.16949974555873748
Detsky Sad - Walkie Talkie,other,0.0,0.17298473609509563
