title,source,diff_ITD,diff_ILD
AM Contra - Heart Peripheral,bass,0.0,0.1177403102999065
AM Contra - Heart Peripheral,drums,0.0,0.003509894211390585
AM Contra - Heart Peripheral,other,0.0,0.40704772229323416
AM Contra - Heart Peripheral,vocals,0.0,0.028851343893082526
Al James - Schoolboy Facination,bass,0.0,0.003953623333484868
Al James - Schoolboy Facination,drums,0.0,0.30716448451670597
Al James - Schoolboy Facination,other,22.675736961451246,0.021144784117360427
Al James - Schoolboy Facination,vocals,0.0,0.03497420399235007
Angels In Amplifiers - I'm Alright,bass,294.78458049886626,0.2802025989226096
Angels In Amplifiers - I'm Alright,drums,0.0,0.08201221707201323
Angels In Amplifiers - I'm Alright,other,22.675736961451246,0.11108528402988282
Angels In Amplifiers - I'm Alright,vocals,0.0,0.028304959233677485
Arise - Run Run Run,bass,0.0,0.0869083388373475
Arise - Run Run Run,drums,0.0,1.6192245563689305
Arise - Run Run Run,other,0.0,1.9374815663482785
Arise - Run Run Run,vocals,0.0,0.0009004236644359342
BKS - Bulldozer,bass,0.0,0.14408092708163184
BKS - Bulldozer,drums,0.0,0.04194918175234269
BKS - Bulldozer,other,0.0,0.2644801763980529
BKS - Bulldozer,vocals,0.0,0.033698461021135495
BKS - Too Much,bass,0.0,0.3632288783254294
BKS - Too Much,drums,0.0,0.07391804249025413
BKS - Too Much,other,0.0,0.11013146677437058
BKS - Too Much,vocals,0.0,0.04560124497677177
Ben Carrigan - We'll Talk About It All Tonight,bass,0.0,0.0024490107227823047
Ben Carrigan - We'll Talk About It All Tonight,drums,0.0,0.06452509497568248
Ben Carrigan - We'll Talk About It All Tonight,other,0.0,0.18607279619370098
Ben Carrigan - We'll Talk About It All Tonight,vocals,0.0,0.16028669892886604
Bobby Nobody - Stitch Up,bass,0.0,0.07198236963142168
Bobby Nobody - Stitch Up,drums,0.0,0.2325715411470186
Bobby Nobody - Stitch Up,other,0.0,0.2554191566673999
Bobby Nobody - Stitch Up,vocals,0.0,0.0491865557546947
Buitraker - Revo X,bass,204.08163265306123,0.0011998288500139616
Buitraker - Revo X,drums,0.0,0.1147464880596365
Buitraker - Revo X,other,0.0,0.09261378231639983
Buitraker - Revo X,vocals,0.0,0.06429429296740163
Carlos Gonzalez - A Place For Us,bass,0.0,0.003922674567459209
Carlos Gonzalez - A Place For Us,drums,0.0,0.12736376534421312
Carlos Gonzalez - A Place For Us,other,0.0,0.15203703969735893
Carlos Gonzalez - A Place For Us,vocals,0.0,0.08853826252046189
Cristina Vane - So Easy,bass,0.0,0.230746791078146
Cristina Vane - So Easy,drums,0.0,0.023843766013064496
Cristina Vane - So Easy,other,0.0,0.020066859476707166
Cristina Vane - So Easy,vocals,0.0,0.060205078613854046
Detsky Sad - Walkie Talkie,bass,0.0,0.006708509173362604
Detsky Sad - Walkie Talkie,drums,0.0,0.11051136120828836
Detsky Sad - Walkie Talkie,other,0.0,0.06162989553739531
Detsky Sad - Walkie Talkie,vocals,0.0,0.2576409203349662
Enda Reilly - Cur An Long Ag Seol,bass,0.0,0.0017199116446166274
Enda Reilly - Cur An Long Ag Seol,drums,0.0,0.01501589629120735
Enda Reilly - Cur An Long Ag Seol,other,0.0,0.04613808172222322
Enda Reilly - Cur An Long Ag Seol,vocals,0.0,0.1326279353489067
Forkupines - Semantics,bass,0.0,0.09068273999878484
Forkupines - Semantics,drums,0.0,0.009408602563280341
Forkupines - Semantics,other,0.0,0.06118123980262535
Forkupines - Semantics,vocals,0.0,0.0848471882504775
Georgia Wonder - Siren,bass,294.78458049886626,0.05913187158491662
Georgia Wonder - Siren,drums,0.0,0.32112404279358553
Georgia Wonder - Siren,other,22.675736961451246,0.17748288674514034
Georgia Wonder - Siren,vocals,0.0,0.2147438823926758
Girls Under Glass - We Feel Alright,bass,0.0,0.04486591193840878
Girls Under Glass - We Feel Alright,drums,0.0,0.09966591107181239
Girls Under Glass - We Feel Alright,other,0.0,0.11042533375832941
Girls Under Glass - We Feel Alright,vocals,0.0,0.06671700626534244
Hollow Ground - Ill Fate,bass,0.0,0.47810198448317215
Hollow Ground - Ill Fate,drums,0.0,0.14022719626801128
Hollow Ground - Ill Fate,other,0.0,0.25576225823792664
Hollow Ground - Ill Fate,vocals,0.0,0.0042612007348416785
James Elder & Mark M Thompson - The English Actor,bass,0.0,0.36191066355004886
James Elder & Mark M Thompson - The English Actor,drums,0.0,0.028208917748932638
James Elder & Mark M Thompson - The English Actor,other,0.0,0.14290929751925363
James Elder & Mark M Thompson - The English Actor,vocals,0.0,0.17014559320041872
Juliet's Rescue - Heartbeats,bass,0.0,0.24325509328242953
Juliet's Rescue - Heartbeats,drums,0.0,0.038261457205455485
Juliet's Rescue - Heartbeats,other,0.0,0.07755725153658463
Juliet's Rescue - Heartbeats,vocals,0.0,0.06355686064025937
Little Chicago's Finest - My Own,bass,0.0,0.03259583587131354
