dataset,model,source,SSR,SRR,diff_ITD,diff_ILD
Binaural,BS-RoFormer,bass,8.63,10.57,498.87,0.06
Binaural,BS-RoFormer,drums,9.63,14.01,0.0,0.04
Binaural,BS-RoFormer,other,11.48,7.92,0.0,0.26
Binaural,BS-RoFormer,vocals,8.45,10.37,0.0,0.32
Binaural,Binaural-SCNet,bass,10.32,13.33,476.19,0.1
Binaural,Binaural-SCNet,drums,10.72,13.66,0.0,0.2
Binaural,Binaural-SCNet,other,13.12,9.49,22.68,0.25
Binaural,Binaural-SCNet,vocals,9.85,8.99,362.81,0.23
Binaural,Demucs,bass,9.13,8.9,476.19,0.2
Binaural,Demucs,drums,10.39,10.58,0.0,0.31
Binaural,Demucs,other,12.62,4.1,22.68,0.57
Binaural,Demucs,vocals,8.7,4.37,0.0,0.42
Binaural,OpenUnmix,bass,10.94,3.37,521.54,0.41
Binaural,OpenUnmix,drums,12.22,6.75,0.0,0.38
Binaural,OpenUnmix,other,11.04,1.19,226.76,0.72
Binaural,OpenUnmix,vocals,8.2,2.37,0.0,0.73
Binaural,SCNet,bass,9.75,8.88,464.85,0.27
Binaural,SCNet,drums,9.97,12.14,0.0,0.27
Binaural,SCNet,other,12.24,5.93,181.41,0.52
Binaural,SCNet,vocals,9.09,7.58,374.15,0.32
Binaural,Spleeter,bass,10.63,1.53,544.22,0.44
Binaural,Spleeter,drums,11.86,4.71,22.68,0.52
Binaural,Spleeter,other,9.96,0.11,22.68,0.99
Binaural,Spleeter,vocals,5.22,0.0,22.68,0.74
Stereo,BS-RoFormer,bass,15.88,8.12,0.0,0.07
Stereo,BS-RoFormer,drums,23.77,11.82,0.0,0.05
Stereo,BS-RoFormer,other,16.89,7.99,0.0,0.09
Stereo,BS-RoFormer,vocals,19.99,9.11,0.0,0.03
Stereo,Demucs,bass,17.18,8.36,0.0,0.08
Stereo,Demucs,drums,20.63,9.86,0.0,0.07
Stereo,Demucs,other,14.11,6.36,0.0,0.11
Stereo,Demucs,vocals,13.42,6.08,0.0,0.05
Stereo,OpenUnmix,bass,9.74,1.72,0.0,0.12
Stereo,OpenUnmix,drums,12.12,4.82,0.0,0.1
Stereo,OpenUnmix,other,10.09,2.9,0.0,0.24
Stereo,OpenUnmix,vocals,11.22,2.4,0.0,0.08
Stereo,SCNet,bass,17.98,8.29,0.0,0.07
Stereo,SCNet,drums,21.35,10.92,0.0,0.05
Stereo,SCNet,other,17.39,7.84,0.0,0.07
Stereo,SCNet,vocals,17.77,8.63,0.0,0.04
Stereo,Spleeter,bass,8.69,1.25,0.0,0.15
Stereo,Spleeter,drums,11.54,4.51,0.0,0.08
Stereo,Spleeter,other,11.31,3.31,0.0,0.23
Stereo,Spleeter,vocals,10.18,2.76,0.0,0.1
