title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,4.974778969847804,-14.410031256472703,15.21091940908303,"[[0.  0. ]
 [2.  3.5]]","[[0.41491989 0.32550337]
 [0.28568644 0.40437692]]"
AM Contra - Heart Peripheral,drums,16.727321262507083,7.467286596531368,4.901362102145455,"[[ 0. -3.]
 [ 3.  0.]]","[[0.79851622 0.03889253]
 [0.04449759 0.79056645]]"
AM Contra - Heart Peripheral,other,1.5669937594397654,-7.072833230494865,4.817978672056334,"[[0. 0.]
 [0. 0.]]","[[ 0.2058332  -0.00200785]
 [-0.01288225  0.21109237]]"
AM Contra - Heart Peripheral,vocals,22.435254713425973,10.37681492842044,3.4927379337828475,"[[0. 0.]
 [0. 0.]]","[[0.8234246  0.05624731]
 [0.0266829  0.86864296]]"
Al James - Schoolboy Facination,bass,22.5303120772821,12.288439750203073,3.437493008544964,"[[-1.  0.]
 [-1. -1.]]","[[0.49188956 0.40867218]
 [0.14291915 0.77355821]]"
Al James - Schoolboy Facination,drums,16.07351563354481,6.672498129386718,4.866529304191737,"[[0. 0.]
 [0. 0.]]","[[0.78523053 0.05429782]
 [0.1271882  0.71600999]]"
Al James - Schoolboy Facination,other,8.616212240458786,2.6295840370720924,6.509306642832269,"[[0. 0.]
 [0. 0.]]","[[ 0.70483528 -0.07763766]
 [-0.08244887  0.72291674]]"
Al James - Schoolboy Facination,vocals,19.437746641849813,8.734265159521922,6.166430194077747,"[[0. 0.]
 [0. 0.]]","[[0.82689407 0.06106015]
 [0.09423587 0.79856272]]"
Angels In Amplifiers - I'm Alright,bass,21.490028916012793,10.682350522389507,3.47058823124394,"[[-1. -1.]
 [ 4.  3.]]","[[0.61442476 0.20789984]
 [0.58860997 0.24163201]]"
Angels In Amplifiers - I'm Alright,drums,17.59528892422362,7.152902035878062,5.484766217414951,"[[0. 0.]
 [0. 0.]]","[[0.58899629 0.24201421]
 [0.16527335 0.70888227]]"
Angels In Amplifiers - I'm Alright,other,15.785975281878205,7.17031815265543,7.476014836211987,"[[0. 0.]
 [0. 0.]]","[[ 0.86077876 -0.014888  ]
 [-0.04727794  0.89781728]]"
Angels In Amplifiers - I'm Alright,vocals,20.84658809313997,9.341130681453908,5.394778067175048,"[[0. 0.]
 [0. 0.]]","[[0.89543731 0.00874435]
 [0.00687449 0.88483519]]"
Arise - Run Run Run,bass,24.40800338943727,12.76318285107812,5.793221385636182,"[[ 1. -2.]
 [ 3.  0.]]","[[ 0.83905267  0.09332615]
 [-0.00601462  0.95444119]]"
Arise - Run Run Run,drums,26.1279027788936,-3.005495376128498,23.96374792304222,"[[0. 0.]
 [0. 0.]]","[[ 0.9507718  -0.00918574]
 [-0.00148569  0.94234239]]"
Arise - Run Run Run,other,1.6944441825894676,-5.657462945787963,10.40592493271667,"[[0. 0.]
 [0. 0.]]","[[ 0.45281883 -0.2211534 ]
 [ 0.11628485  0.02703593]]"
Arise - Run Run Run,vocals,20.26805292093418,9.570994534810891,3.3911950201070793,"[[0. 0.]
 [0. 0.]]","[[0.57505618 0.10324936]
 [0.13469069 0.49551001]]"
BKS - Bulldozer,bass,19.94889872851423,9.776778451218842,4.2028914042010115,"[[  1.  19.]
 [-17.  -1.]]","[[0.86793158 0.02835281]
 [0.06918889 0.80154844]]"
BKS - Bulldozer,drums,28.56507355784567,12.533746631095731,4.445859596557508,"[[0. 0.]
 [0. 0.]]","[[0.77716524 0.16518664]
 [0.12696802 0.82124284]]"
BKS - Bulldozer,other,13.913243331381299,5.950965651612688,4.632391373598638,"[[0. 0.]
 [0. 0.]]","[[0.79305745 0.00809215]
 [0.01802824 0.77698376]]"
BKS - Bulldozer,vocals,7.775829288445514,0.5976938429875225,2.4122456967638346,"[[0. 0.]
 [0. 0.]]","[[ 0.65105341 -0.02354457]
 [-0.02265474  0.64913429]]"
BKS - Too Much,bass,28.36935721550619,14.57465398687674,3.3328996419348655,"[[ -1.  12.]
 [-13.   0.]]","[[0.92233046 0.03859637]
 [0.03275146 0.92786932]]"
BKS - Too Much,drums,22.17062040580865,10.477902230548942,4.348398666013985,"[[0. 0.]
 [0. 0.]]","[[0.87797314 0.03746073]
 [0.02098671 0.89703655]]"
BKS - Too Much,other,14.131245863900105,6.531968623406767,4.632025364995332,"[[ 0.  1.]
 [-1.  0.]]","[[ 0.82499104 -0.02652417]
 [-0.04014984  0.85856233]]"
BKS - Too Much,vocals,21.69081831724052,10.096366512190041,2.4650113525365076,"[[0. 0.]
 [0. 0.]]","[[0.80384051 0.02780864]
 [0.04003732 0.78087407]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,20.95104686215018,11.000331182847559,1.9809006271143987,"[[0. 0.]
 [0. 0.]]","[[0.45004633 0.44128897]
 [0.44998998 0.44139236]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,15.38153174164889,7.580140919942032,1.3919940878033263,"[[0. 0.]
 [0. 0.]]","[[0.47256662 0.00860565]
 [0.         0.55338669]]"
Ben Carrigan - We'll Talk About It All Tonight,other,17.015005959405844,8.103227485668322,3.448296342995512,"[[0. 1.]
 [0. 0.]]","[[ 0.90016997 -0.02380599]
 [-0.01026355  0.8769728 ]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,5.770970203475435,0.07697189575415853,1.400715264212991,"[[0. 0.]
 [0. 0.]]","[[0.35714043 0.        ]
 [0.00532589 0.3320939 ]]"
Bobby Nobody - Stitch Up,bass,24.411237340592585,9.202584036881294,3.9337961843995863,"[[ 0.  5.]
 [-7. -1.]]","[[ 0.9089507  -0.00201116]
 [ 0.22191391  0.65875677]]"
Bobby Nobody - Stitch Up,drums,13.65450556488764,6.682544416371549,4.070396364605099,"[[0. 0.]
 [0. 0.]]","[[ 0.77531503  0.0193585 ]
 [-0.03823984  0.83502554]]"
Bobby Nobody - Stitch Up,other,12.36745024780036,5.0003642251402365,5.848198151780382,"[[0. 0.]
 [0. 0.]]","[[0.75536207 0.03850601]
 [0.03525147 0.74380062]]"
Bobby Nobody - Stitch Up,vocals,18.713886771749834,8.905740325362936,3.6480980662486404,"[[0. 0.]
 [0. 0.]]","[[0.8470274  0.        ]
 [0.0032634  0.84764034]]"
Buitraker - Revo X,bass,25.62861797417409,11.788330269168164,4.318053438278183,"[[ 1.  8.]
 [-7.  0.]]","[[0.67811466 0.21865994]
 [0.0791325  0.83537191]]"
Buitraker - Revo X,drums,28.747945640978372,14.033968127451084,4.658708109506834,"[[ 0.  3.]
 [-3.  0.]]","[[0.93982878 0.03233519]
 [0.05593484 0.89244456]]"
Buitraker - Revo X,other,10.883204112704426,5.437718989235324,6.000472775887633,"[[0. 0.]
 [0. 0.]]","[[ 0.80713608 -0.08915624]
 [-0.08240926  0.80254846]]"
Buitraker - Revo X,vocals,12.04913029848213,3.934744994954178,4.199103261536728,"[[0. 0.]
 [0. 0.]]","[[0.55070672 0.0863924 ]
 [0.07490249 0.53756372]]"
Carlos Gonzalez - A Place For Us,bass,1.1068708990223426,-9.884151847731204,1.1933325488450488,"[[0. 0.]
 [0. 0.]]","[[0.05994664 0.05994665]
 [0.05970102 0.05970105]]"
Carlos Gonzalez - A Place For Us,drums,13.232145803818714,5.697530251049467,5.267991570885264,"[[0. 0.]
 [0. 0.]]","[[0.78167581 0.02089699]
 [0.03470169 0.68561779]]"
Carlos Gonzalez - A Place For Us,other,15.9233513808943,6.921043291308286,7.213357948281818,"[[0. 0.]
 [0. 0.]]","[[ 0.86070077 -0.0119382 ]
 [-0.00833154  0.85701702]]"
Carlos Gonzalez - A Place For Us,vocals,15.419169004697327,6.837295126132698,4.782271370492563,"[[0. 0.]
 [0. 0.]]","[[0.65434535 0.06500105]
 [0.06249136 0.66284558]]"
Cristina Vane - So Easy,bass,13.945821666213089,6.13203156247334,4.476124603689935,"[[ 0.  7.]
 [-6.  0.]]","[[ 0.82290092 -0.00532213]
 [ 0.01249458  0.71914187]]"
Cristina Vane - So Easy,drums,27.254572327985986,13.852945000987074,4.209810873221524,"[[0. 0.]
 [0. 0.]]","[[0.8570022  0.0839329 ]
 [0.02504555 0.92171194]]"
Cristina Vane - So Easy,other,13.795984959350566,4.724017379454599,6.482363514626188,"[[0. 0.]
 [0. 0.]]","[[0.77551482 0.02913484]
 [0.03268346 0.75301465]]"
Cristina Vane - So Easy,vocals,20.902554667371817,10.18526712634652,2.852516697776677,"[[0. 0.]
 [0. 0.]]","[[0.8796995  0.0103342 ]
 [0.         0.90547704]]"
Detsky Sad - Walkie Talkie,bass,9.201015007705838,3.923460433266592,3.2311502535881687,"[[0. 0.]
 [0. 0.]]","[[0.31478778 0.24167897]
 [0.31089406 0.24038757]]"
Detsky Sad - Walkie Talkie,drums,15.128581319108104,7.753208826585476,8.690384381138266,"[[0. 0.]
 [0. 0.]]","[[0.79460911 0.02194493]
 [0.00976631 0.83475396]]"
Detsky Sad - Walkie Talkie,other,10.664064759561082,-0.21674084260325135,8.802630462568056,"[[0. 0.]
 [0. 0.]]","[[0.67121156 0.        ]
 [0.         0.69013024]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,2.916878723198948,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Enda Reilly - Cur An Long Ag Seol,bass,23.013238448285428,11.518869292622899,3.3548593359076313,"[[0. 0.]
 [0. 0.]]","[[0.46692119 0.46651134]
 [0.46689038 0.46636618]]"
Enda Reilly - Cur An Long Ag Seol,drums,27.16474835936782,16.12383803734772,2.659099422352903,"[[0. 0.]
 [0. 0.]]","[[0.92117545 0.01231081]
 [0.0187518  0.91256757]]"
Enda Reilly - Cur An Long Ag Seol,other,19.05894184948594,9.395754999801136,4.544207403173186,"[[ 0. -1.]
 [ 1.  0.]]","[[ 0.92842571 -0.0310162 ]
 [ 0.          0.89548593]]"
Enda Reilly - Cur An Long Ag Seol,vocals,22.219585579478686,10.653181670079432,3.584911829517866,"[[0. 0.]
 [0. 0.]]","[[0.825636   0.03163248]
 [0.0152041  0.83356438]]"
Forkupines - Semantics,bass,15.16857898426741,7.48543208029928,4.4376151478390415,"[[ 0.  1.]
 [-2.  0.]]","[[ 0.88427344 -0.00252096]
 [ 0.07597981  0.67852764]]"
Forkupines - Semantics,drums,26.38910456592241,12.095095801973152,6.749053609749993,"[[0. 0.]
 [0. 0.]]","[[0.66882906 0.22933964]
 [0.21990929 0.69195306]]"
Forkupines - Semantics,other,12.756330645407889,5.3697947008748805,7.989561917773843,"[[0. 0.]
 [0. 0.]]","[[ 0.80896019 -0.02726571]
 [-0.02973106  0.82220692]]"
Forkupines - Semantics,vocals,0.0,-40.073962690969644,0.059068236829284144,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Georgia Wonder - Siren,bass,29.19027443578028,12.43497767828302,4.185129204340656,"[[ -1. -18.]
 [ 17.   4.]]","[[0.86088419 0.11167892]
 [0.13716573 0.78485547]]"
Georgia Wonder - Siren,drums,24.479941486598385,11.726644651300731,4.7448020756388605,"[[0. 0.]
 [0. 0.]]","[[0.94068509 0.02694129]
 [0.06369807 0.85354655]]"
Georgia Wonder - Siren,other,15.188081314435838,6.5840621964283095,6.249535925375211,"[[0. 0.]
 [0. 0.]]","[[ 0.81547605  0.00747632]
 [-0.0050754   0.82635943]]"
Georgia Wonder - Siren,vocals,8.813301958033584,2.5118306570368367,4.670065997427557,"[[0. 0.]
 [0. 0.]]","[[0.64901749 0.        ]
 [0.         0.63327243]]"
Girls Under Glass - We Feel Alright,bass,11.825171066657589,4.626775944061405,8.691995931179221,"[[0. 0.]
 [0. 0.]]","[[0.70015541 0.014385  ]
 [0.         0.72760473]]"
