title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.10967873661397665,-4.1072463043981,15.690008640148584,"[[  1.5  29. ]
 [-28.    0. ]]","[[1.40652969 0.00165229]
 [0.0059254  1.28549668]]"
AM Contra - Heart Peripheral,drums,4.144131683421263,9.988086292107734,4.3668441214709715,"[[ 0. -8.]
 [ 8.  0.]]","[[1.43079325 0.045404  ]
 [0.01871935 1.4673107 ]]"
AM Contra - Heart Peripheral,other,1.111172380503571,-12.497813773772208,4.406352892585865,"[[ 0. -5.]
 [ 5.  0.]]","[[ 0.4189897  -0.23327134]
 [-0.03724637  0.20233532]]"
AM Contra - Heart Peripheral,vocals,3.55065472228908,14.719967262783463,2.326528538394386,"[[  0. -28.]
 [ 28.   0.]]","[[ 1.64071881e+00 -1.09344706e-02]
 [-1.53455167e-04  1.61931844e+00]]"
Al James - Schoolboy Facination,bass,10.97490438944605,13.793188463680499,2.6689580144080365,"[[ -2. -21.]
 [ 23.   3.]]","[[1.15373084 0.13186404]
 [0.155498   1.10171124]]"
Al James - Schoolboy Facination,drums,13.18488623619187,7.977428002691371,4.443906308359383,"[[  0.  37.]
 [-32.   0.]]","[[1.07931021 0.06220892]
 [0.20947549 1.02289038]]"
Al James - Schoolboy Facination,other,13.482692332625772,1.3774481518071904,4.659529508522935,"[[  0.  24.]
 [-24.   0.]]","[[ 0.83017585 -0.01679366]
 [-0.07115622  0.88104375]]"
Al James - Schoolboy Facination,vocals,14.844501013724917,10.116303415011112,4.996670581329906,"[[  0.  34.]
 [-34.   0.]]","[[ 1.12728002 -0.00285368]
 [-0.01934975  1.18616459]]"
Angels In Amplifiers - I'm Alright,bass,3.616959404434719,11.801176828801216,4.148789067640236,"[[  2.  37.]
 [-34.   0.]]","[[1.50268241 0.12254269]
 [0.07445618 1.59662547]]"
Angels In Amplifiers - I'm Alright,drums,3.3509055411215116,12.62304118156326,3.7653623488611743,"[[  0. -12.]
 [ 12.   0.]]","[[1.58136872 0.10103035]
 [0.07527774 1.57961831]]"
Angels In Amplifiers - I'm Alright,other,5.637539931249714,9.422452266730284,5.750037018873049,"[[  0.  13.]
 [-13.   0.]]","[[ 1.49400535 -0.00757534]
 [-0.1164296   1.64131512]]"
Angels In Amplifiers - I'm Alright,vocals,3.188031271980038,13.162007773265277,3.51299340071903,"[[ 0. -9.]
 [ 9.  0.]]","[[1.65861694 0.00770769]
 [0.02970448 1.59820378]]"
Arise - Run Run Run,bass,10.537286472582661,8.906172322614431,9.003759996160113,"[[  0. -35.]
 [ 38.   1.]]","[[ 1.32971209 -0.02405812]
 [ 0.05093763  1.23365381]]"
Arise - Run Run Run,drums,11.45238407167875,8.420289975131624,3.757627557523932,"[[ 0. -4.]
 [ 4.  0.]]","[[ 1.27032136e+00 -1.54646485e-02]
 [ 1.14012847e-03  1.26231673e+00]]"
Arise - Run Run Run,other,4.704920702763601,-0.29340769539126066,8.924182648107745,"[[  0.  34.]
 [-34.   0.]]","[[ 0.58998076 -0.10400328]
 [-0.3431677   0.77401237]]"
Arise - Run Run Run,vocals,11.004556764278266,12.208351272964046,2.206457662899514,"[[  0.  -29. ]
 [ 28.5   0. ]]","[[ 1.25221263e+00 -4.07890281e-03]
 [ 2.14871885e-04  1.18390170e+00]]"
BKS - Bulldozer,bass,14.307549498071644,10.175958592678247,3.243712869531251,"[[  0.  26.]
 [-25.   0.]]","[[1.08467596 0.05230113]
 [0.09149317 1.06910236]]"
BKS - Bulldozer,drums,13.478339322996526,19.598986205279882,1.6676928033475296,"[[  0. -32.]
 [ 33.   0.]]","[[1.20442562 0.00808079]
 [0.02484991 1.17677717]]"
BKS - Bulldozer,other,15.447068447510851,5.507739400949258,3.1241720710950105,"[[  0.  13.]
 [-13.   0.]]","[[ 0.88301714 -0.03169818]
 [-0.18073667  1.08365991]]"
BKS - Bulldozer,vocals,13.501459939615902,4.569100384266056,1.0745364516927065,"[[  0.  33.]
 [-34.   0.]]","[[ 7.86794208e-01  0.00000000e+00]
 [-1.60321300e-04  9.37127306e-01]]"
BKS - Too Much,bass,7.42567982155008,16.155598328677353,2.780873803799283,"[[  0.  37.]
 [-36.   0.]]","[[1.36129228 0.03387551]
 [0.05365743 1.3669367 ]]"
BKS - Too Much,drums,8.16834235217603,13.747640521935894,2.9031547589834297,"[[  0.  20.]
 [-27.   0.]]","[[1.32709951 0.03083899]
 [0.01890291 1.36267703]]"
BKS - Too Much,other,12.228209380308948,9.052991820744893,2.4620715905509467,"[[ 0. -9.]
 [ 9.  0.]]","[[ 1.27500874 -0.0268039 ]
 [ 0.00690853  1.17062111]]"
BKS - Too Much,vocals,7.692970549077213,13.267356897458264,1.6319214241804407,"[[  0. -14.]
 [ 13.   0.]]","[[1.3678215  0.        ]
 [0.         1.32101747]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,11.93471244058303,14.472478439885215,1.4587005727878994,"[[  0.  28.]
 [-24.   0.]]","[[1.00806998 0.        ]
 [0.         1.13213258]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,12.359030024923348,6.920587391238374,1.0634494653669395,"[[  0. -12.]
 [ 12.   0.]]","[[0.80857709 0.        ]
 [0.00356441 0.8570514 ]]"
Ben Carrigan - We'll Talk About It All Tonight,other,15.485632502004957,8.860106359039326,2.135636514044355,"[[ 0. -9.]
 [ 9.  0.]]","[[1.10273308e+00 8.76084442e-04]
 [0.00000000e+00 1.12347340e+00]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,12.70558717376047,4.497338777791228,0.8122373325690528,"[[  0. -26.]
 [ 27.   0.]]","[[ 1.0143075  -0.00949099]
 [ 0.          0.80280871]]"
Bobby Nobody - Stitch Up,bass,15.367450981957319,8.344736509221356,3.6803459604577338,"[[  0.  33.]
 [-34.   0.]]","[[1.11982482 0.0190481 ]
 [0.07366925 1.08776175]]"
Bobby Nobody - Stitch Up,drums,24.86750308280354,8.275758266794197,2.8591498212832622,"[[  0.  36.]
 [-36.   0.]]","[[ 1.03017858 -0.00772892]
 [-0.03225986  1.02482616]]"
Bobby Nobody - Stitch Up,other,16.08492394422042,5.469983490408599,4.110410970054996,"[[  0.  13.]
 [-13.   0.]]","[[ 0.86912562 -0.00690765]
 [-0.10987091  0.97640472]]"
Bobby Nobody - Stitch Up,vocals,17.25062011517032,11.122120959234229,2.098333515678051,"[[ 0.  8.]
 [-8.  0.]]","[[1.09127389 0.        ]
 [0.00950312 1.06550296]]"
Buitraker - Revo X,bass,10.927667539602579,13.211419557390702,3.5560591961357666,"[[  1.  34.]
 [-31.   0.]]","[[1.19890572 0.05892985]
 [0.         1.26667482]]"
Buitraker - Revo X,drums,11.136541295145946,17.682862971754233,2.6237210893813105,"[[  0. -21.]
 [ 20.   0.]]","[[1.2191359  0.04409438]
 [0.01776248 1.23568927]]"
Buitraker - Revo X,other,18.987817305294644,6.784998075152357,3.9870470590284595,"[[ 0.  8.]
 [-9.  0.]]","[[ 0.94849937  0.02162847]
 [-0.11345023  1.12149004]]"
Buitraker - Revo X,vocals,13.078795967635957,10.14847152651022,2.4034542074051397,"[[  0. -34.]
 [ 34.   0.]]","[[ 1.2055065  -0.01462603]
 [ 0.          1.0841842 ]]"
Carlos Gonzalez - A Place For Us,bass,5.471738971616289,-1.1275308173267273,2.051071708006318,"[[  0.  33.]
 [-32.   0.]]","[[0.33858657 0.08371778]
 [0.14190799 0.25858411]]"
Carlos Gonzalez - A Place For Us,drums,6.605122727612152,9.27616857771686,3.3693646486689746,"[[0. 0.]
 [0. 0.]]","[[ 1.21036361e+00  1.09356312e-02]
 [-1.03951568e-03  1.23135987e+00]]"
Carlos Gonzalez - A Place For Us,other,6.933841769948942,11.05802457544904,4.128154622905852,"[[  0.  19.]
 [-19.   0.]]","[[ 1.38509736e+00  1.47337479e-02]
 [-5.49996169e-04  1.44845771e+00]]"
Carlos Gonzalez - A Place For Us,vocals,6.185754807279835,13.013262187239373,2.5394360726697043,"[[  0. -15.]
 [ 15.   0.]]","[[1.47028434e+00 7.11834642e-04]
 [2.84456440e-02 1.31991715e+00]]"
Cristina Vane - So Easy,bass,8.64676178535612,2.0906218375577517,4.634806986093757,"[[  0.  38.]
 [-36.   1.]]","[[0.56112885 0.10043121]
 [0.17369609 0.55858472]]"
Cristina Vane - So Easy,drums,7.246256903257295,13.673100741790117,4.664012078231559,"[[  0.  35.]
 [-35.   0.]]","[[1.29941828 0.063787  ]
 [0.16117587 1.26088208]]"
Cristina Vane - So Easy,other,9.774665100563565,3.9572377999090333,8.122408210810999,"[[  0.  23.]
 [-23.   0.]]","[[ 1.30962115  0.00878525]
 [-0.04344166  1.35364568]]"
Cristina Vane - So Easy,vocals,7.208819279183687,15.60938400510233,1.6108767511858528,"[[  0. -18.]
 [ 18.   0.]]","[[ 1.43953995 -0.00455609]
 [ 0.0128725   1.28558928]]"
Detsky Sad - Walkie Talkie,bass,0.0010977207424174536,-14.370283977025188,0.02017948945339631,"[[  0.  36.]
 [-37.   0.]]","[[7.26132004e-05 3.68450394e-05]
 [4.46580984e-06 1.08400199e-04]]"
