title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,-1.8821218680434453,-3.0449169968169594,13.13059496864061,"[[  4.5  30. ]
 [-26.    0. ]]","[[ 0.99071767 -0.11078439]
 [-0.30160692  1.19985785]]"
AM Contra - Heart Peripheral,drums,3.8371562059345674,10.164102711656033,4.183446274350183,"[[ 0. -8.]
 [ 8.  0.]]","[[1.31767877 0.08708405]
 [0.03932939 1.38595724]]"
AM Contra - Heart Peripheral,other,3.7260506739350823,-5.540382959029879,5.439188129317575,"[[ 0. -4.]
 [ 4.  0.]]","[[ 0.65622195 -0.21923035]
 [ 0.0508766   0.39489814]]"
AM Contra - Heart Peripheral,vocals,3.6634934856884294,12.448183342645716,3.3523236345939083,"[[  0. -28.]
 [ 27.   0.]]","[[ 1.62430293 -0.03914288]
 [-0.01482831  1.65520819]]"
Al James - Schoolboy Facination,bass,10.44510368850588,11.770117464135017,3.5008297520426264,"[[ -5. -17.]
 [ 20.   7.]]","[[0.93404171 0.37372564]
 [0.3296959  0.92506133]]"
Al James - Schoolboy Facination,drums,14.45659302840523,7.901204601059487,4.351677491639098,"[[  0.  38.]
 [-36.   0.]]","[[1.11202049 0.04675758]
 [0.20651092 0.97733921]]"
Al James - Schoolboy Facination,other,15.552776567707669,1.1222508060228131,5.381229799503711,"[[  0.  24.]
 [-24.   0.]]","[[ 0.92271668 -0.00785123]
 [-0.03881271  0.87774659]]"
Al James - Schoolboy Facination,vocals,15.68592665514032,9.116306671937759,5.126131173531779,"[[  0.  34.]
 [-34.   0.]]","[[1.08983525 0.01022182]
 [0.00177066 1.12092284]]"
Angels In Amplifiers - I'm Alright,bass,4.40331695878627,9.439892824091519,5.117656131433869,"[[  4.  35.]
 [-32.  -2.]]","[[1.27356897 0.2340434 ]
 [0.30943945 1.27502955]]"
Angels In Amplifiers - I'm Alright,drums,3.7185347847135573,9.362089198344348,5.342835690004337,"[[  0. -12.]
 [ 12.   0.]]","[[1.19782598 0.42969185]
 [0.11272398 1.47906347]]"
Angels In Amplifiers - I'm Alright,other,5.36358660097549,7.169755206422398,7.6025757865051125,"[[  0.  13.]
 [-13.   0.]]","[[ 1.56145616 -0.00293811]
 [-0.05296523  1.57162621]]"
Angels In Amplifiers - I'm Alright,vocals,3.240108338745306,11.000369469412863,4.434682970197994,"[[ 0. -9.]
 [ 9.  0.]]","[[1.52248795 0.07422522]
 [0.04848591 1.56710473]]"
Arise - Run Run Run,bass,12.653933091254718,3.546240748396013,15.928391034530808,"[[ -1. -33.]
 [ 36.   4.]]","[[1.21420047 0.05251044]
 [0.09957281 1.12289015]]"
Arise - Run Run Run,drums,12.664211986993735,13.275658207976601,2.4398220105941064,"[[ 0. -4.]
 [ 4.  0.]]","[[1.20484688e+00 1.16420749e-03]
 [3.04245847e-02 1.19675426e+00]]"
Arise - Run Run Run,other,6.695256466393199,1.5348205999790965,9.274650863519565,"[[  0.   34.5]
 [-34.    0. ]]","[[ 0.72410253 -0.10512133]
 [-0.31530398  0.8512132 ]]"
Arise - Run Run Run,vocals,10.459259754659215,12.554961894581783,2.4078726149469754,"[[  0. -28.]
 [ 29.   0.]]","[[1.22560825 0.01316115]
 [0.0169211  1.22746953]]"
BKS - Bulldozer,bass,15.160423272741927,9.908159654647264,3.420846457694876,"[[  2.  24.]
 [-24.  -1.]]","[[0.97870594 0.12087973]
 [0.20807813 0.9284515 ]]"
