title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,2.599579763423636,-14.433770981585448,12.921998833242196,"[[0.  2. ]
 [2.  3.5]]","[[0.46468045 0.26007814]
 [0.22015198 0.45978141]]"
AM Contra - Heart Peripheral,drums,20.11226115131101,10.465597841246648,4.10832884077805,"[[ 0. -9.]
 [ 8.  0.]]","[[0.85955308 0.01726753]
 [0.01652374 0.8802003 ]]"
AM Contra - Heart Peripheral,other,2.6860088745866677,-4.470989108280035,5.988297197009889,"[[0. 0.]
 [0. 0.]]","[[ 0.3074672  -0.03176433]
 [-0.04069548  0.32039066]]"
AM Contra - Heart Peripheral,vocals,25.72045051134777,11.995397658437314,2.8333529180532055,"[[0. 0.]
 [0. 0.]]","[[0.83729193 0.05383814]
 [0.03740214 0.86929149]]"
Al James - Schoolboy Facination,bass,23.394315533325425,12.337616824791233,3.4106368275882697,"[[ 0.  0.]
 [-1.  0.]]","[[0.57889693 0.32229773]
 [0.18374667 0.74000403]]"
Al James - Schoolboy Facination,drums,18.539386919578295,7.26237349896569,4.730654049021111,"[[0. 0.]
 [0. 0.]]","[[0.85559083 0.02940782]
 [0.07294719 0.8001582 ]]"
Al James - Schoolboy Facination,other,11.081153194714808,4.539550197314249,6.061012051293797,"[[0. 0.]
 [0. 0.]]","[[ 0.76914813 -0.06261227]
 [-0.05872324  0.80123838]]"
Al James - Schoolboy Facination,vocals,21.63351796292202,10.104841981229288,5.395346565980279,"[[0. 0.]
 [0. 0.]]","[[0.83876529 0.07425237]
 [0.07633387 0.8422063 ]]"
Angels In Amplifiers - I'm Alright,bass,21.14853005252343,10.904902594658985,3.4674048119115914,"[[-1. -2.]
 [ 4.  3.]]","[[0.5893785  0.24115649]
 [0.46134148 0.40041807]]"
Angels In Amplifiers - I'm Alright,drums,19.284079853953596,8.505806204874368,4.884940176091619,"[[0. 0.]
 [0. 0.]]","[[0.7847907  0.10371315]
 [0.09395584 0.7893285 ]]"
Angels In Amplifiers - I'm Alright,other,18.168492286999335,8.893650779069171,6.691052332398144,"[[0. 0.]
 [0. 0.]]","[[ 8.67526295e-01  6.04118349e-04]
 [-3.34189063e-02  9.18076603e-01]]"
