title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,-1.4194273226053595,-3.3937120962902494,14.212071096460198,"[[  6.   30. ]
 [-24.5   0. ]]","[[ 0.77578843 -0.18272607]
 [-0.32271209  0.95814967]]"
AM Contra - Heart Peripheral,drums,3.743541984151589,10.396890852243272,4.598684862381035,"[[ 0. -8.]
 [ 8.  0.]]","[[1.31936571 0.15934867]
 [0.06309154 1.44843154]]"
AM Contra - Heart Peripheral,other,3.5257058012165423,-5.753097815567742,6.195904612883837,"[[ 0. -4.]
 [ 4.  0.]]","[[ 0.7624909  -0.38516292]
 [-0.00603163  0.3993805 ]]"
AM Contra - Heart Peripheral,vocals,4.088648153317257,11.52451923320509,3.4701865326151236,"[[  0. -27.]
 [ 28.   0.]]","[[ 1.57753041 -0.0714384 ]
 [-0.03044797  1.62419797]]"
Al James - Schoolboy Facination,bass,11.330062282567079,10.315763797902125,4.045669206839622,"[[ -6. -16.]
 [ 19.   8.]]","[[0.84613951 0.42578667]
 [0.35812471 0.8653154 ]]"
Al James - Schoolboy Facination,drums,14.78253264458245,6.988089046752738,4.840421717863386,"[[  0.  37.]
 [-35.   0.]]","[[1.06138507 0.0923958 ]
 [0.27636431 0.89600638]]"
Al James - Schoolboy Facination,other,13.46508323664609,-0.3563990885339208,5.6959283456981025,"[[  0.  24.]
 [-24.   0.]]","[[ 0.8457929  -0.01973277]
 [-0.03653339  0.82437567]]"
Al James - Schoolboy Facination,vocals,16.97687268918135,8.005207367033941,5.870072105015839,"[[  0.  34.]
 [-34.   0.]]","[[ 1.07524161 -0.0045375 ]
 [-0.02758309  1.10242798]]"
Angels In Amplifiers - I'm Alright,bass,4.156950546954533,8.794412783916597,5.654616361754061,"[[  6.  33.]
 [-31.  -4.]]","[[1.23078104 0.2644182 ]
 [0.39040313 1.23086128]]"
Angels In Amplifiers - I'm Alright,drums,3.53097090941132,8.429206420918895,6.123740057861591,"[[  0. -12.]
 [ 12.   0.]]","[[1.0986096  0.5518495 ]
 [0.15799101 1.44953993]]"
Angels In Amplifiers - I'm Alright,other,6.429351257936242,6.228716944150044,8.124463140655344,"[[  0.  13.]
 [-13.   0.]]","[[ 1.50446203 -0.01205992]
 [-0.08988698  1.5411652 ]]"
Angels In Amplifiers - I'm Alright,vocals,3.5246950834710016,9.624851879027645,5.122342538317722,"[[ 0. -9.]
 [ 9.  0.]]","[[1.45188142 0.08798613]
 [0.05418218 1.52372628]]"
Arise - Run Run Run,bass,11.668707602838476,7.541201515534805,10.40909970150552,"[[ -1. -32.]
 [ 36.   5.]]","[[1.18014537 0.09588007]
 [0.14387636 1.08941805]]"
Arise - Run Run Run,drums,12.825606305654151,7.95284587345505,4.5174025080404565,"[[ 0. -4.]
 [ 4.  0.]]","[[1.14970604 0.04875762]
 [0.06470006 1.14567083]]"
Arise - Run Run Run,other,12.356885377974393,3.6557800765348314,10.267161622702822,"[[  0.  34.]
 [-34.   0.]]","[[ 0.91999491 -0.10040411]
 [-0.23138082  0.97866765]]"
Arise - Run Run Run,vocals,11.251440417212802,10.333477233440128,2.877676808036335,"[[  0. -28.]
 [ 29.   0.]]","[[1.17507806 0.00948467]
 [0.01386148 1.17630702]]"
BKS - Bulldozer,bass,15.588571781445046,9.476495087550413,3.823930260455328,"[[  2.  23.]
 [-23.  -2.]]","[[0.95663487 0.14511901]
 [0.25230473 0.88956048]]"
BKS - Bulldozer,drums,13.530933465941342,13.942925409818697,3.3029785813415273,"[[  0. -32.]
 [ 32.   0.]]","[[1.0887978  0.10601495]
 [0.03333443 1.16147683]]"
BKS - Bulldozer,other,18.557738124427864,4.717291820451786,3.965856389045652,"[[  0.  13.]
 [-13.   0.]]","[[ 9.58498782e-01 -4.55444862e-04]
 [-6.95403969e-02  1.02597067e+00]]"
BKS - Bulldozer,vocals,6.948395391834296,-0.9677179248231809,1.6571071773887875,"[[  0.  34.]
 [-34.   0.]]","[[ 0.70109396  0.        ]
 [-0.00797546  0.74068507]]"
BKS - Too Much,bass,7.2124730995155435,13.27276196820803,4.111085320766656,"[[  3.  35.]
 [-33.  -2.]]","[[1.21376663 0.15336149]
 [0.25986767 1.18092254]]"
BKS - Too Much,drums,8.789578328312501,11.004363381648965,4.049297242773227,"[[  0.  20.]
 [-20.   0.]]","[[1.28426773 0.05584659]
 [0.15317554 1.18035127]]"
BKS - Too Much,other,13.333882043448789,4.006651724520915,4.209330265698625,"[[ 0. -9.]
 [ 9.  0.]]","[[ 1.15388543e+00 -9.83057934e-04]
 [-7.80347034e-04  1.16147364e+00]]"
BKS - Too Much,vocals,7.875570662583948,10.529117382843303,2.43396956284294,"[[  0. -14.]
 [ 14.   0.]]","[[1.28701725 0.        ]
 [0.00271509 1.31134883]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,11.601869322294455,9.811680211471147,2.2779804311716,"[[  0.  24.]
 [-21.   0.]]","[[0.83178038 0.00531747]
 [0.         0.8942839 ]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,12.694964244611405,6.946848966579848,1.1938015242234523,"[[  0. -12.]
 [ 12.   0.]]","[[0.6743536  0.06183695]
 [0.02672642 0.99353832]]"
Ben Carrigan - We'll Talk About It All Tonight,other,16.83919795551639,6.507558313702645,3.0400479191197443,"[[ 0. -9.]
 [ 9.  0.]]","[[1.01778698 0.00955094]
 [0.00939894 1.02982049]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,8.335975516018534,0.6021091951378644,1.044458711533066,"[[  0. -26.]
 [ 27.   0.]]","[[0.80203237 0.        ]
 [0.         0.67626049]]"
Bobby Nobody - Stitch Up,bass,18.590002925507044,6.772539592885549,4.32292876939715,"[[  4.  31.]
 [-29.  -2.]]","[[0.83471986 0.14936653]
 [0.22595043 0.80556628]]"
Bobby Nobody - Stitch Up,drums,24.40283096054898,7.998610478775025,3.1081061458433616,"[[  0.  36.]
 [-36.   0.]]","[[ 1.04325456e+00 -2.89465512e-04]
 [-6.19634166e-03  9.76366160e-01]]"
Bobby Nobody - Stitch Up,other,19.197770621882643,3.659369978939289,5.634032252322475,"[[  0.  13.]
 [-13.   0.]]","[[ 0.91227609  0.00435048]
 [-0.05722866  0.96624153]]"
Bobby Nobody - Stitch Up,vocals,19.698959130372977,8.485413958132536,2.7313034518632637,"[[ 0.  8.]
 [-8.  0.]]","[[0.99006607 0.02607379]
 [0.03558123 0.96135838]]"
Buitraker - Revo X,bass,11.566860749827734,11.573878271791338,4.259104458963255,"[[  3.  31.]
 [-30.  -2.]]","[[1.11605901 0.1049967 ]
 [0.14537105 1.1075271 ]]"
Buitraker - Revo X,drums,10.773816334453542,15.207166939270229,3.611510707574396,"[[  0. -21.]
 [ 21.   0.]]","[[1.09325351 0.17416786]
 [0.04706364 1.22289386]]"
Buitraker - Revo X,other,18.857311828924153,3.2624807249161423,5.3829699553503545,"[[ 0.  8.]
 [-8.  0.]]","[[ 0.99151    -0.00237525]
 [-0.02075518  0.97646057]]"
Buitraker - Revo X,vocals,14.925626675269548,4.463424031549688,3.5413877144514028,"[[  0. -34.]
 [ 34.   0.]]","[[ 0.99550311 -0.04471896]
 [ 0.          1.06360101]]"
Carlos Gonzalez - A Place For Us,bass,6.006850243176249,2.60288171244429,3.3052818920656364,"[[  2.  28.]
 [-23.  -1.]]","[[1.22242836 0.29228498]
 [0.5978772  1.22219751]]"
Carlos Gonzalez - A Place For Us,drums,8.136761997310767,7.829814022315233,3.7764508654107223,"[[0. 0.]
 [0. 0.]]","[[1.30139067 0.30268656]
 [0.47897973 1.17828153]]"
Carlos Gonzalez - A Place For Us,other,8.499656702841559,6.979507681731546,6.032745123125508,"[[  0.  19.]
 [-19.   0.]]","[[ 1.37607908 -0.00775731]
 [ 0.01395751  1.37006836]]"
Carlos Gonzalez - A Place For Us,vocals,7.317333412956477,7.54251085654326,4.380590126946011,"[[  0. -14.]
 [ 15.   0.]]","[[1.33568112 0.07407122]
 [0.058293   1.37087778]]"
Cristina Vane - So Easy,bass,12.740952383383341,3.270064872453539,5.659578981435319,"[[  2.  34.]
 [-34.  -2.]]","[[0.67821734 0.21055978]
 [0.44184112 0.58639783]]"
Cristina Vane - So Easy,drums,7.354372745006415,13.483844956514144,4.845806918413765,"[[  0.  35.]
 [-34.   0.]]","[[1.26915023 0.08426927]
 [0.26427555 1.17648668]]"
Cristina Vane - So Easy,other,11.32595622578716,2.928454081122836,8.775810442545307,"[[  0.  22.]
 [-22.   0.]]","[[1.23724408 0.01826896]
 [0.00199334 1.2300055 ]]"
Cristina Vane - So Easy,vocals,7.371958724044081,10.063700823198847,3.0377821823262994,"[[  0. -18.]
 [ 18.   0.]]","[[1.32287627 0.00861402]
 [0.01406232 1.33790701]]"
Detsky Sad - Walkie Talkie,bass,-0.0018696874220937075,-37.45396256025512,0.6092611673942386,"[[12.5 24.5]
 [ 0.   0. ]]","[[ 0.00047791 -0.00033904]
 [-0.00040743  0.00022178]]"
Detsky Sad - Walkie Talkie,drums,25.66465704346709,7.402231618694722,7.54178517709335,"[[  0.  29.]
 [-28.   0.]]","[[0.92600903 0.04189061]
 [0.26465445 0.68180516]]"
Detsky Sad - Walkie Talkie,other,18.1960980186943,-2.1842956309380037,10.01942875994116,"[[  0. -17.]
 [ 17.   0.]]","[[0.83799854 0.02822092]
 [0.00879573 0.83913574]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,0.9968308083964583,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Enda Reilly - Cur An Long Ag Seol,bass,9.983086309236036,10.682125293682693,3.8320504211124735,"[[ -2. -21.]
 [ 21.   2.]]","[[1.03851528 0.26415832]
 [0.16597945 1.09467519]]"
Enda Reilly - Cur An Long Ag Seol,drums,7.954296156651667,16.825290866832347,2.347708215186577,"[[  0.  23.]
 [-23.   0.]]","[[1.33209702 0.00473537]
 [0.04563183 1.28929203]]"
Enda Reilly - Cur An Long Ag Seol,other,10.839548778184051,9.569898609753125,4.114214492247287,"[[  0.  15.]
 [-15.   0.]]","[[ 1.31667936 -0.02767804]
 [-0.03593688  1.32255765]]"
Enda Reilly - Cur An Long Ag Seol,vocals,8.413246567865436,16.032554605857108,2.0439103657827786,"[[0. 0.]
 [0. 0.]]","[[0.84996242 0.30359109]
 [0.39576381 0.67503083]]"
Forkupines - Semantics,bass,19.780294453742805,8.860236863878889,3.031040707212735,"[[-2. -7.]
 [ 8.  3.]]","[[0.49642648 0.47969883]
 [0.31678064 0.68367646]]"
Forkupines - Semantics,drums,16.925883972264998,13.018446557293029,4.952242400996509,"[[  0.  36.]
 [-35.   0.]]","[[1.08208177 0.03060613]
 [0.12452737 1.00232498]]"
