title,source,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,2.3465662160065337,-14.669504760736547,13.414328723065081,"[[0.5 3. ]
 [0.  1.5]]","[[0.42772612 0.28919142]
 [0.29670394 0.40817094]]"
AM Contra - Heart Peripheral,drums,21.889946352124753,9.759521246761356,4.7895256579333845,"[[ 0. -4.]
 [ 4.  0.]]","[[0.86533345 0.02331386]
 [0.02249315 0.89180352]]"
AM Contra - Heart Peripheral,other,2.5216742731513015,-4.116319716250526,6.033406404196927,"[[0. 0.]
 [0. 0.]]","[[ 0.28816738 -0.01988642]
 [-0.05685981  0.31519639]]"
AM Contra - Heart Peripheral,vocals,23.319333334807403,11.075363379368394,3.1541988235484646,"[[0. 0.]
 [0. 0.]]","[[0.80089703 0.06228076]
 [0.03876912 0.83513348]]"
Al James - Schoolboy Facination,bass,19.91831599832238,10.676097376128357,3.950213863003039,"[[ 0.  0.]
 [-1.  0.]]","[[0.51610409 0.3445933 ]
 [0.15403369 0.73799664]]"
Al James - Schoolboy Facination,drums,16.947918687320854,6.6645946035309205,4.960552233189914,"[[0. 0.]
 [0. 0.]]","[[0.81579369 0.04084053]
 [0.10600958 0.75284703]]"
Al James - Schoolboy Facination,other,9.596515641454742,2.9371820551417316,6.581705914381693,"[[0. 0.]
 [0. 0.]]","[[ 0.7328602  -0.08028911]
 [-0.08268388  0.7688331 ]]"
Al James - Schoolboy Facination,vocals,19.668730650226532,8.912484356469212,5.98491986673162,"[[0. 0.]
 [0. 0.]]","[[0.80785062 0.07584982]
 [0.08576153 0.80658803]]"
Angels In Amplifiers - I'm Alright,bass,20.121486229044976,9.98042718611663,3.7442178445849055,"[[-1. -2.]
 [ 3.  3.]]","[[0.59210506 0.25176674]
 [0.48950224 0.34812777]]"
Angels In Amplifiers - I'm Alright,drums,18.576056314313885,7.7277939306508,5.316546044332887,"[[0. 0.]
 [0. 0.]]","[[0.72803095 0.14477601]
 [0.13735639 0.74714106]]"
Angels In Amplifiers - I'm Alright,other,16.46171147911095,7.793576756363086,7.2424009777862866,"[[0. 0.]
 [0. 0.]]","[[ 8.47847848e-01  7.92772733e-04]
 [-3.98550972e-02  8.97360228e-01]]"
Angels In Amplifiers - I'm Alright,vocals,21.16118667317462,10.075621512331614,4.957142539842905,"[[0. 0.]
 [0. 0.]]","[[0.90001455 0.00924796]
 [0.00359365 0.90483116]]"
Arise - Run Run Run,bass,27.21205979396568,8.454660881825653,9.514397712537097,"[[ 1. -1.]
 [ 3.  1.]]","[[0.88621879 0.07172358]
 [0.06841797 0.89389052]]"
Arise - Run Run Run,drums,27.705023549535984,-0.009800557434736857,16.179580418582013,"[[0. 0.]
 [0. 0.]]","[[0.95740821 0.00154601]
 [0.00507126 0.94090308]]"
Arise - Run Run Run,other,5.652320422372923,1.9418129941501945,11.243729334798548,"[[ 0.  1.]
 [-1.  0.]]","[[ 0.80112384 -0.2557125 ]
 [ 0.22220026  0.19133842]]"
Arise - Run Run Run,vocals,24.969736941170165,12.319068441816949,2.564095710287889,"[[0. 0.]
 [0. 0.]]","[[0.77384649 0.02512834]
 [0.05598935 0.69686658]]"
BKS - Bulldozer,bass,21.621309567294933,9.98531637551754,3.7659380936040154,"[[  1.  17.]
 [-17.  -1.]]","[[0.88209461 0.032276  ]
 [0.07824101 0.7924178 ]]"
BKS - Bulldozer,drums,29.552834931013344,13.118312337094306,4.020747454481499,"[[0. 0.]
 [0. 0.]]","[[0.78046277 0.16900435]
 [0.1495407  0.80551234]]"
BKS - Bulldozer,other,16.46387304004933,7.129665024313967,4.2336145442294875,"[[0. 0.]
 [0. 0.]]","[[0.81470692 0.01930219]
 [0.02921406 0.81907047]]"
BKS - Bulldozer,vocals,6.994410899071677,1.4009424538806128,2.533803141522892,"[[0. 0.]
 [0. 0.]]","[[ 0.78066674 -0.04377685]
 [-0.03330461  0.7697241 ]]"
BKS - Too Much,bass,28.65182844182992,14.373877962177101,3.4301151294754564,"[[  0.  12.]
 [-12.   0.]]","[[0.88365942 0.07974505]
 [0.02538311 0.93170524]]"
BKS - Too Much,drums,21.67460385923018,10.854512147583577,4.101042770090785,"[[0. 0.]
 [0. 0.]]","[[0.85418125 0.05069066]
 [0.01837233 0.89411409]]"
BKS - Too Much,other,15.386391242692671,7.488632887346884,4.362302223061507,"[[ 0.  1.]
 [-1.  0.]]","[[ 0.85768068 -0.02347567]
 [-0.0312389   0.87858763]]"
BKS - Too Much,vocals,23.275754304865337,10.974257080391753,2.2758261742491963,"[[0. 0.]
 [0. 0.]]","[[0.82310811 0.02664217]
 [0.03090443 0.80933264]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,19.709691404649035,9.744528172050778,2.4090778446640875,"[[0. 0.]
 [0. 0.]]","[[0.44006831 0.43466168]
 [0.43965938 0.43481397]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,13.90536813475837,7.166926583904316,1.3733611156650107,"[[0. 0.]
 [0. 0.]]","[[0.51943114 0.        ]
 [0.         0.31857058]]"
Ben Carrigan - We'll Talk About It All Tonight,other,16.915532785555104,8.33904557767356,3.4631381084884048,"[[0. 0.]
 [0. 0.]]","[[ 0.90487431 -0.02545538]
 [-0.01315785  0.88128662]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,8.534381354933394,1.6696749001030173,1.8802177265746571,"[[0. 0.]
 [0. 0.]]","[[0.55856801 0.01013659]
 [0.01811744 0.46210047]]"
Bobby Nobody - Stitch Up,bass,22.171880718925987,9.453333037626301,3.930155869401154,"[[ 0.  6.]
 [-6. -1.]]","[[0.85886734 0.04940329]
 [0.19417688 0.70280764]]"
Bobby Nobody - Stitch Up,drums,15.965968620921176,7.81712681111701,3.6793589636620743,"[[0. 0.]
 [0. 0.]]","[[ 0.78017938  0.04701438]
 [-0.03517277  0.88810575]]"
Bobby Nobody - Stitch Up,other,13.830111782920405,5.917645598834097,5.636660151357514,"[[0. 0.]
 [0. 0.]]","[[0.81987204 0.02142129]
 [0.03073667 0.75675434]]"
Bobby Nobody - Stitch Up,vocals,19.89732828317117,9.887724984099368,3.3664899914772963,"[[0. 0.]
 [0. 0.]]","[[0.85213088 0.00219443]
 [0.00107702 0.86301974]]"
Buitraker - Revo X,bass,23.501136545135925,11.561800609989092,4.456528279883402,"[[ 3.  6.]
 [-5. -2.]]","[[0.52036713 0.35867211]
 [0.27764262 0.62659017]]"
Buitraker - Revo X,drums,30.423711226344963,14.707734841722107,4.257600122927546,"[[ 0.  1.]
 [-1.  0.]]","[[0.94797129 0.03230308]
 [0.04981981 0.91414184]]"
Buitraker - Revo X,other,13.184124244515532,6.322900848237297,6.277138115521481,"[[0. 0.]
 [0. 0.]]","[[ 0.84960828 -0.06986426]
 [-0.06810703  0.85455199]]"
Buitraker - Revo X,vocals,13.189299285072467,4.91478104532086,3.904346019141638,"[[0. 0.]
 [0. 0.]]","[[0.53980563 0.14093963]
 [0.09153973 0.56487222]]"
Carlos Gonzalez - A Place For Us,bass,3.09367967241574,-4.554672080651368,2.4967411759594373,"[[0. 0.]
 [0. 0.]]","[[0.15376391 0.15376391]
 [0.15362055 0.1536206 ]]"
Carlos Gonzalez - A Place For Us,drums,16.374931503300523,7.1790716982942175,4.385848292930418,"[[0. 0.]
 [0. 0.]]","[[0.90411999 0.04806696]
 [0.09049868 0.87867215]]"
Carlos Gonzalez - A Place For Us,other,18.126830121776415,7.952846270143613,6.344417237852358,"[[0. 0.]
 [0. 0.]]","[[ 0.90584827 -0.00615092]
 [-0.0102349   0.90541406]]"
Carlos Gonzalez - A Place For Us,vocals,17.450875396692886,7.930585955836239,4.5782012327910575,"[[0. 0.]
 [0. 0.]]","[[0.80532812 0.11353144]
 [0.11348542 0.82425636]]"
Cristina Vane - So Easy,bass,13.15469076112684,5.974227343057512,4.327159869870437,"[[ 0.  6.]
 [-6.  0.]]","[[ 0.84277666 -0.04122045]
 [ 0.14489715  0.55298284]]"
Cristina Vane - So Easy,drums,26.351789706150555,14.7642407246328,3.804831654735673,"[[0. 0.]
 [0. 0.]]","[[0.8651481  0.07216611]
 [0.04345898 0.90496995]]"
Cristina Vane - So Easy,other,15.371874320497383,5.619885555433621,6.133262108038982,"[[0. 0.]
 [0. 0.]]","[[0.8201041  0.03287253]
 [0.01123907 0.82717103]]"
Cristina Vane - So Easy,vocals,23.42032729008157,11.701941477414763,2.472284899510066,"[[0. 0.]
 [0. 0.]]","[[0.90650672 0.01055953]
 [0.00370665 0.92514213]]"
Detsky Sad - Walkie Talkie,bass,9.756652930500628,5.660166037778904,2.882633834123956,"[[0. 0.]
 [0. 0.]]","[[0.32855806 0.30501772]
 [0.32122744 0.3085181 ]]"
Detsky Sad - Walkie Talkie,drums,17.335666836170542,8.729209494706724,8.196760074800025,"[[0. 0.]
 [0. 0.]]","[[0.79248467 0.06294167]
 [0.04617954 0.81967284]]"
Detsky Sad - Walkie Talkie,other,11.645599365809302,-0.4181005135457726,9.345306608899353,"[[0. 0.]
 [0. 0.]]","[[0.74819942 0.        ]
 [0.         0.75634168]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,1.0455663814825678,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Enda Reilly - Cur An Long Ag Seol,bass,24.012895187720286,11.982318037146948,3.310893299719669,"[[0. 0.]
 [0. 0.]]","[[0.47080802 0.47049663]
 [0.47060777 0.47015848]]"
Enda Reilly - Cur An Long Ag Seol,drums,26.51654988095007,16.01198151545755,2.629872419798911,"[[0. 0.]
 [0. 0.]]","[[0.90553988 0.01501102]
 [0.02413592 0.89821345]]"
Enda Reilly - Cur An Long Ag Seol,other,23.133591756590924,11.48226277815964,3.8758315489277946,"[[ 0. -1.]
 [ 1.  0.]]","[[ 0.94772054 -0.01185064]
 [-0.00747476  0.94334979]]"
Enda Reilly - Cur An Long Ag Seol,vocals,25.3455691945042,13.848344272454847,2.906480609882737,"[[0. 0.]
 [0. 0.]]","[[0.83509371 0.04822009]
 [0.04419192 0.85951964]]"
Forkupines - Semantics,bass,17.145739557814174,7.991606144638582,4.301935205986841,"[[ 0.  1.]
 [-2.  0.]]","[[0.84834555 0.        ]
 [0.06669512 0.73074204]]"
Forkupines - Semantics,drums,26.40765489123448,12.352362475583696,6.5177368141592025,"[[0. 0.]
 [0. 0.]]","[[0.64481839 0.25294063]
 [0.22928353 0.67300992]]"
Forkupines - Semantics,other,14.441862008558804,5.885486835257203,7.9704800086985985,"[[0. 0.]
 [0. 0.]]","[[ 0.84233481 -0.01591806]
 [-0.01742996  0.84206735]]"
Forkupines - Semantics,vocals,0.0,-43.03127340241423,0.2545654740231087,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Georgia Wonder - Siren,bass,25.365437480972457,12.13555403606783,4.053962039583308,"[[ -2. -16.]
 [ 19.   4.]]","[[0.83238223 0.09619644]
 [0.11093485 0.81118485]]"
